Filename,Top_left_lat,Top_left_lon,Bottom_right_lat,Bottom_right_long
sat_map_00.png,60.403962,22.460441,60.402409,22.464059
sat_map_01.png,60.403963,22.464054,60.402409,22.467672
sat_map_02.png,60.40241,22.46044,60.400857,22.464058
sat_map_03.png,60.402412,22.464056,60.400859,22.467674
sat_map_04.png,60.402412,22.467673,60.400859,22.471291
sat_map_05.png,60.403962,22.467672,60.402408,22.47129
sat_map_06.png,60.405516,22.460443,60.403962,22.464061
sat_map_07.png,60.405514,22.464053,60.403961,22.467671
sat_map_08.png,60.405512,22.467667,60.403959,22.471285
sat_map_09.png,60.407068,22.460446,60.405515,22.464064
sat_map_10.png,60.407067,22.464064,60.405514,22.467682
sat_map_11.png,60.407064,22.467667,60.405511,22.471285
sat_map_12.png,60.408617,22.460445,60.407064,22.464063
sat_map_13.png,60.408619,22.464056,60.407066,22.467674
sat_map_14.png,60.408616,22.46767,60.407063,22.471288
zoom_18/52508_100195.png,38.99036995,-107.8912354,38.98930255,-107.8898621
zoom_18/52508_100196.png,38.98930255,-107.8912354,38.98823513,-107.8898621
zoom_18/52508_100197.png,38.98823513,-107.8912354,38.9871677,-107.8898621
zoom_18/52508_100198.png,38.9871677,-107.8912354,38.98610025,-107.8898621
zoom_18/52508_100199.png,38.98610025,-107.8912354,38.98503279,-107.8898621
zoom_18/52508_100200.png,38.98503279,-107.8912354,38.98396531,-107.8898621
zoom_18/52508_100201.png,38.98396531,-107.8912354,38.98289781,-107.8898621
zoom_18/52508_100202.png,38.98289781,-107.8912354,38.98183029,-107.8898621
zoom_18/52508_100203.png,38.98183029,-107.8912354,38.98076277,-107.8898621
zoom_18/52508_100204.png,38.98076277,-107.8912354,38.97969522,-107.8898621
zoom_18/52509_100195.png,38.99036995,-107.8898621,38.98930255,-107.8884888
zoom_18/52509_100196.png,38.98930255,-107.8898621,38.98823513,-107.8884888
zoom_18/52509_100197.png,38.98823513,-107.8898621,38.9871677,-107.8884888
zoom_18/52509_100198.png,38.9871677,-107.8898621,38.98610025,-107.8884888
zoom_18/52509_100199.png,38.98610025,-107.8898621,38.98503279,-107.8884888
zoom_18/52509_100200.png,38.98503279,-107.8898621,38.98396531,-107.8884888
zoom_18/52509_100201.png,38.98396531,-107.8898621,38.98289781,-107.8884888
zoom_18/52509_100202.png,38.98289781,-107.8898621,38.98183029,-107.8884888
zoom_18/52509_100203.png,38.98183029,-107.8898621,38.98076277,-107.8884888
zoom_18/52509_100204.png,38.98076277,-107.8898621,38.97969522,-107.8884888
zoom_18/52510_100195.png,38.99036995,-107.8884888,38.98930255,-107.8871155
zoom_18/52510_100196.png,38.98930255,-107.8884888,38.98823513,-107.8871155
zoom_18/52510_100197.png,38.98823513,-107.8884888,38.9871677,-107.8871155
zoom_18/52510_100198.png,38.9871677,-107.8884888,38.98610025,-107.8871155
zoom_18/52510_100199.png,38.98610025,-107.8884888,38.98503279,-107.8871155
zoom_18/52510_100200.png,38.98503279,-107.8884888,38.98396531,-107.8871155
zoom_18/52510_100201.png,38.98396531,-107.8884888,38.98289781,-107.8871155
zoom_18/52510_100202.png,38.98289781,-107.8884888,38.98183029,-107.8871155
zoom_18/52510_100203.png,38.98183029,-107.8884888,38.98076277,-107.8871155
zoom_18/52510_100204.png,38.98076277,-107.8884888,38.97969522,-107.8871155
zoom_18/52511_100195.png,38.99036995,-107.8871155,38.98930255,-107.8857422
zoom_18/52511_100196.png,38.98930255,-107.8871155,38.98823513,-107.8857422
zoom_18/52511_100197.png,38.98823513,-107.8871155,38.9871677,-107.8857422
zoom_18/52511_100198.png,38.9871677,-107.8871155,38.98610025,-107.8857422
zoom_18/52511_100199.png,38.98610025,-107.8871155,38.98503279,-107.8857422
zoom_18/52511_100200.png,38.98503279,-107.8871155,38.98396531,-107.8857422
zoom_18/52511_100201.png,38.98396531,-107.8871155,38.98289781,-107.8857422
zoom_18/52511_100202.png,38.98289781,-107.8871155,38.98183029,-107.8857422
zoom_18/52511_100203.png,38.98183029,-107.8871155,38.98076277,-107.8857422
zoom_18/52511_100204.png,38.98076277,-107.8871155,38.97969522,-107.8857422
zoom_18/52512_100195.png,38.99036995,-107.8857422,38.98930255,-107.8843689
zoom_18/52512_100196.png,38.98930255,-107.8857422,38.98823513,-107.8843689
zoom_18/52512_100197.png,38.98823513,-107.8857422,38.9871677,-107.8843689
zoom_18/52512_100198.png,38.9871677,-107.8857422,38.98610025,-107.8843689
zoom_18/52512_100199.png,38.98610025,-107.8857422,38.98503279,-107.8843689
zoom_18/52512_100200.png,38.98503279,-107.8857422,38.98396531,-107.8843689
zoom_18/52512_100201.png,38.98396531,-107.8857422,38.98289781,-107.8843689
zoom_18/52512_100202.png,38.98289781,-107.8857422,38.98183029,-107.8843689
zoom_18/52512_100203.png,38.98183029,-107.8857422,38.98076277,-107.8843689
zoom_18/52512_100204.png,38.98076277,-107.8857422,38.97969522,-107.8843689
zoom_18/52513_100195.png,38.99036995,-107.8843689,38.98930255,-107.8829956
zoom_18/52513_100196.png,38.98930255,-107.8843689,38.98823513,-107.8829956
zoom_18/52513_100197.png,38.98823513,-107.8843689,38.9871677,-107.8829956
zoom_18/52513_100198.png,38.9871677,-107.8843689,38.98610025,-107.8829956
zoom_18/52513_100199.png,38.98610025,-107.8843689,38.98503279,-107.8829956
zoom_18/52513_100200.png,38.98503279,-107.8843689,38.98396531,-107.8829956
zoom_18/52513_100201.png,38.98396531,-107.8843689,38.98289781,-107.8829956
zoom_18/52513_100202.png,38.98289781,-107.8843689,38.98183029,-107.8829956
zoom_18/52513_100203.png,38.98183029,-107.8843689,38.98076277,-107.8829956
zoom_18/52513_100204.png,38.98076277,-107.8843689,38.97969522,-107.8829956
zoom_18/52514_100195.png,38.99036995,-107.8829956,38.98930255,-107.8816223
zoom_18/52514_100196.png,38.98930255,-107.8829956,38.98823513,-107.8816223
zoom_18/52514_100197.png,38.98823513,-107.8829956,38.9871677,-107.8816223
zoom_18/52514_100198.png,38.9871677,-107.8829956,38.98610025,-107.8816223
zoom_18/52514_100199.png,38.98610025,-107.8829956,38.98503279,-107.8816223
zoom_18/52514_100200.png,38.98503279,-107.8829956,38.98396531,-107.8816223
zoom_18/52514_100201.png,38.98396531,-107.8829956,38.98289781,-107.8816223
zoom_18/52514_100202.png,38.98289781,-107.8829956,38.98183029,-107.8816223
zoom_18/52514_100203.png,38.98183029,-107.8829956,38.98076277,-107.8816223
zoom_18/52514_100204.png,38.98076277,-107.8829956,38.97969522,-107.8816223
zoom_18/52515_100195.png,38.99036995,-107.8816223,38.98930255,-107.880249
zoom_18/52515_100196.png,38.98930255,-107.8816223,38.98823513,-107.880249
zoom_18/52515_100197.png,38.98823513,-107.8816223,38.9871677,-107.880249
zoom_18/52515_100198.png,38.9871677,-107.8816223,38.98610025,-107.880249
zoom_18/52515_100199.png,38.98610025,-107.8816223,38.98503279,-107.880249
zoom_18/52515_100200.png,38.98503279,-107.8816223,38.98396531,-107.880249
zoom_18/52515_100201.png,38.98396531,-107.8816223,38.98289781,-107.880249
zoom_18/52515_100202.png,38.98289781,-107.8816223,38.98183029,-107.880249
zoom_18/52515_100203.png,38.98183029,-107.8816223,38.98076277,-107.880249
zoom_18/52515_100204.png,38.98076277,-107.8816223,38.97969522,-107.880249
zoom_18/52516_100195.png,38.99036995,-107.880249,38.98930255,-107.8788757
zoom_18/52516_100196.png,38.98930255,-107.880249,38.98823513,-107.8788757
zoom_18/52516_100197.png,38.98823513,-107.880249,38.9871677,-107.8788757
zoom_18/52516_100198.png,38.9871677,-107.880249,38.98610025,-107.8788757
zoom_18/52516_100199.png,38.98610025,-107.880249,38.98503279,-107.8788757
zoom_18/52516_100200.png,38.98503279,-107.880249,38.98396531,-107.8788757
zoom_18/52516_100201.png,38.98396531,-107.880249,38.98289781,-107.8788757
zoom_18/52516_100202.png,38.98289781,-107.880249,38.98183029,-107.8788757
zoom_18/52516_100203.png,38.98183029,-107.880249,38.98076277,-107.8788757
zoom_18/52516_100204.png,38.98076277,-107.880249,38.97969522,-107.8788757
zoom_18/52517_100195.png,38.99036995,-107.8788757,38.98930255,-107.8775024
zoom_18/52517_100196.png,38.98930255,-107.8788757,38.98823513,-107.8775024
zoom_18/52517_100197.png,38.98823513,-107.8788757,38.9871677,-107.8775024
zoom_18/52517_100198.png,38.9871677,-107.8788757,38.98610025,-107.8775024
zoom_18/52517_100199.png,38.98610025,-107.8788757,38.98503279,-107.8775024
zoom_18/52517_100200.png,38.98503279,-107.8788757,38.98396531,-107.8775024
zoom_18/52517_100201.png,38.98396531,-107.8788757,38.98289781,-107.8775024
zoom_18/52517_100202.png,38.98289781,-107.8788757,38.98183029,-107.8775024
zoom_18/52517_100203.png,38.98183029,-107.8788757,38.98076277,-107.8775024
zoom_18/52517_100204.png,38.98076277,-107.8788757,38.97969522,-107.8775024