Filename,Latitude,Longitude,Altitude,Gimball_Roll,Gimball_Yaw,Gimball_Pitch,Flight_Roll,Flight_Yaw,Flight_Pitch
drone_image_1.jpg,60.40324167,22.46213333,119.98,0,-4.7,-90.3,-8.5,1.6,-11
drone_image_2.jpg,60.40225833,22.46515556,120.01,0,-92.6,-90.3,-1,-86.8,-10.9
DJI_0133.JPG,38.98695031,-107.8852596,2751.242,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0047.JPG,38.984964,-107.8871479,2751.242,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0130.JPG,38.98624594,-107.8852649,2751.242,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0083.JPG,38.98454853,-107.886398,2751.142,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0135.JPG,38.98739028,-107.8852562,2751.042,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0179.JPG,38.98579267,-107.8841374,2751.242,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0187.JPG,38.98406358,-107.8841493,2751.242,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0152.JPG,38.98426714,-107.8849004,2751.142,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0033.JPG,38.987488,-107.8875101,2751.142,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0010.JPG,38.98562642,-107.8878956,2751.442,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0171.JPG,38.98759767,-107.8841298,2751.042,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0160.JPG,38.98535122,-107.8845186,2751.242,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0148.JPG,38.98521003,-107.8848969,2751.342,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0107.JPG,38.98670903,-107.8856388,2751.042,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0099.JPG,38.98698278,-107.8860075,2751.342,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0105.JPG,38.98715869,-107.8856328,2750.942,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0062.JPG,38.9863095,-107.8867603,2751.142,NaN,NaN,NaN,NaN,NaN,NaN
DJI_0117.JPG,38.98450694,-107.8856467,2751.142,NaN,NaN,NaN,NaN,NaN,NaN